,fixture_id,fixture_date,fixture_timestamp,league_id,league_name,league_country,league_season,league_round,teams_home_id,teams_home_name,teams_away_id,teams_away_name
91,27610,2018-10-15 14:00:00+00:00,1539612000,141,Segunda Division,Spain,2018,9,714,Gimnastic,711,Alcorcon
92,27611,2018-10-14 18:45:00+00:00,1539542700,141,Segunda Division,Spain,2018,9,715,Granada CF,798,Mallorca
93,27612,2018-10-12 14:00:00+00:00,1539352800,141,Segunda Division,Spain,2018,9,535,Malaga,722,Albacete
94,27613,2018-10-13 18:30:00+00:00,1539455400,141,Segunda Division,Spain,2018,9,717,Numancia,732,Zaragoza
95,27614,2018-10-13 14:00:00+00:00,1539439200,141,Segunda Division,Spain,2018,9,727,Osasuna,713,Cordoba
96,27615,2018-10-14 14:00:00+00:00,1539525600,141,Segunda Division,Spain,2018,9,861,Rayo Majadahonda,718,Oviedo
97,27616,2018-10-13 16:00:00+00:00,1539446400,141,Segunda Division,Spain,2018,9,731,Sporting Gijon,729,Reus
98,27617,2018-10-14 11:00:00+00:00,1539514800,141,Segunda Division,Spain,2018,9,719,Tenerife,716,Lugo
99,27618,2018-10-21 16:00:00+00:00,1540137600,141,Segunda Division,Spain,2018,10,722,Albacete,723,Almeria
100,27619,2018-10-20 16:00:00+00:00,1540051200,141,Segunda Division,Spain,2018,10,711,Alcorcon,715,Granada CF
101,27620,2018-10-21 18:30:00+00:00,1540146600,141,Segunda Division,Spain,2018,10,724,Cadiz,731,Sporting Gijon
102,27621,2018-10-20 18:00:00+00:00,1540058400,141,Segunda Division,Spain,2018,10,713,Cordoba,544,Deportivo La Coruna
103,27622,2018-10-19 19:00:00+00:00,1539975600,141,Segunda Division,Spain,2018,10,797,Elche,535,Malaga
104,27623,2018-10-20 16:00:00+00:00,1540051200,141,Segunda Division,Spain,2018,10,534,Las Palmas,717,Numancia
105,27624,2018-10-21 14:00:00+00:00,1540130400,141,Segunda Division,Spain,2018,10,716,Lugo,714,Gimnastic
106,27625,2018-10-21 10:00:00+00:00,1540116000,141,Segunda Division,Spain,2018,10,798,Mallorca,860,Extremadura
107,27626,2018-10-20 14:00:00+00:00,1540044000,141,Segunda Division,Spain,2018,10,718,Oviedo,727,Osasuna
108,27627,2018-10-21 16:00:00+00:00,1540137600,141,Segunda Division,Spain,2018,10,729,Reus,861,Rayo Majadahonda
109,27628,2018-10-21 18:00:00+00:00,1540144800,141,Segunda Division,Spain,2018,10,732,Zaragoza,719,Tenerife
110,27629,2018-10-27 14:00:00+00:00,1540648800,141,Segunda Division,Spain,2018,11,544,Deportivo La Coruna,729,Reus
111,27630,2018-10-28 19:30:00+00:00,1540755000,141,Segunda Division,Spain,2018,11,797,Elche,732,Zaragoza
112,27631,2018-10-28 17:00:00+00:00,1540746000,141,Segunda Division,Spain,2018,11,860,Extremadura,722,Albacete
113,27632,2018-10-28 11:00:00+00:00,1540724400,141,Segunda Division,Spain,2018,11,714,Gimnastic,718,Oviedo
114,27633,2018-10-27 16:00:00+00:00,1540656000,141,Segunda Division,Spain,2018,11,715,Granada CF,723,Almeria
115,27634,2018-10-27 18:30:00+00:00,1540665000,141,Segunda Division,Spain,2018,11,716,Lugo,724,Cadiz
116,27635,2018-10-29 20:00:00+00:00,1540843200,141,Segunda Division,Spain,2018,11,535,Malaga,717,Numancia
117,27636,2018-10-27 16:00:00+00:00,1540656000,141,Segunda Division,Spain,2018,11,798,Mallorca,534,Las Palmas
118,27637,2018-10-28 17:00:00+00:00,1540746000,141,Segunda Division,Spain,2018,11,861,Rayo Majadahonda,727,Osasuna
119,27638,2018-10-26 19:00:00+00:00,1540580400,141,Segunda Division,Spain,2018,11,731,Sporting Gijon,713,Cordoba
120,27639,2018-10-27 18:30:00+00:00,1540665000,141,Segunda Division,Spain,2018,11,719,Tenerife,711,Alcorcon
121,27640,2018-11-02 20:00:00+00:00,1541188800,141,Segunda Division,Spain,2018,12,722,Albacete,714,Gimnastic
122,27641,2018-11-04 17:00:00+00:00,1541350800,141,Segunda Division,Spain,2018,12,711,Alcorcon,861,Rayo Majadahonda
123,27642,2018-11-04 17:00:00+00:00,1541350800,141,Segunda Division,Spain,2018,12,723,Almeria,731,Sporting Gijon
124,27643,2018-11-04 11:00:00+00:00,1541329200,141,Segunda Division,Spain,2018,12,724,Cadiz,797,Elche
125,27644,2018-11-03 19:00:00+00:00,1541271600,141,Segunda Division,Spain,2018,12,713,Cordoba,860,Extremadura
126,27645,2018-11-03 19:30:00+00:00,1541273400,141,Segunda Division,Spain,2018,12,534,Las Palmas,544,Deportivo La Coruna
127,27646,2018-11-03 17:00:00+00:00,1541264400,141,Segunda Division,Spain,2018,12,717,Numancia,719,Tenerife
128,27647,2018-11-03 17:00:00+00:00,1541264400,141,Segunda Division,Spain,2018,12,727,Osasuna,535,Malaga
129,27648,2018-11-04 15:00:00+00:00,1541343600,141,Segunda Division,Spain,2018,12,718,Oviedo,798,Mallorca
130,27649,2018-11-03 15:00:00+00:00,1541257200,141,Segunda Division,Spain,2018,12,729,Reus,716,Lugo
131,27650,2018-11-04 19:30:00+00:00,1541359800,141,Segunda Division,Spain,2018,12,732,Zaragoza,715,Granada CF
132,27651,2018-11-10 15:00:00+00:00,1541862000,141,Segunda Division,Spain,2018,13,724,Cadiz,729,Reus
133,27652,2018-11-10 19:30:00+00:00,1541878200,141,Segunda Division,Spain,2018,13,544,Deportivo La Coruna,718,Oviedo
134,27653,2018-11-10 19:30:00+00:00,1541878200,141,Segunda Division,Spain,2018,13,797,Elche,534,Las Palmas
135,27654,2018-11-10 17:00:00+00:00,1541869200,141,Segunda Division,Spain,2018,13,860,Extremadura,727,Osasuna
136,27655,2018-11-12 20:00:00+00:00,1542052800,141,Segunda Division,Spain,2018,13,714,Gimnastic,732,Zaragoza
137,27656,2018-11-11 11:00:00+00:00,1541934000,141,Segunda Division,Spain,2018,13,715,Granada CF,717,Numancia
138,27657,2018-11-10 17:00:00+00:00,1541869200,141,Segunda Division,Spain,2018,13,716,Lugo,711,Alcorcon
139,27658,2018-11-11 17:00:00+00:00,1541955600,141,Segunda Division,Spain,2018,13,798,Mallorca,713,Cordoba
140,27659,2018-11-11 15:00:00+00:00,1541948400,141,Segunda Division,Spain,2018,13,861,Rayo Majadahonda,723,Almeria
141,27660,2018-11-11 17:00:00+00:00,1541955600,141,Segunda Division,Spain,2018,13,731,Sporting Gijon,535,Malaga
142,27661,2018-11-11 19:00:00+00:00,1541962800,141,Segunda Division,Spain,2018,13,719,Tenerife,722,Albacete
143,27662,2018-11-18 17:00:00+00:00,1542560400,141,Segunda Division,Spain,2018,14,722,Albacete,716,Lugo
144,27663,2018-11-18 17:00:00+00:00,1542560400,141,Segunda Division,Spain,2018,14,711,Alcorcon,797,Elche
145,27664,2018-11-19 20:00:00+00:00,1542657600,141,Segunda Division,Spain,2018,14,723,Almeria,544,Deportivo La Coruna
146,27665,2018-11-18 15:00:00+00:00,1542553200,141,Segunda Division,Spain,2018,14,713,Cordoba,724,Cadiz
147,27666,2018-11-16 20:00:00+00:00,1542398400,141,Segunda Division,Spain,2018,14,534,Las Palmas,715,Granada CF
