fixture.id,fixture.referee,fixture.timezone,fixture.date,fixture.timestamp,fixture.periods.first,fixture.periods.second,fixture.venue.id,fixture.venue.name,fixture.venue.city,fixture.status.long,fixture.status.short,fixture.status.elapsed,league.id,league.name,league.country,league.logo,league.flag,league.season,league.round,teams.home.id,teams.home.name,teams.home.logo,teams.home.winner,teams.away.id,teams.away.name,teams.away.logo,teams.away.winner,goals.home,goals.away,score.halftime.home,score.halftime.away,score.fulltime.home,score.fulltime.away,score.extratime.home,score.extratime.away,score.penalty.home,score.penalty.away
27550,"Jorge Figueroa Vazquez, Spain",UTC,2018-09-01T18:30:00+00:00,1535826600,1535826600.0,1535830200.0,,Heliodoro Rodríguez López,Santa Cruz de Tenerife,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 3,719,Tenerife,https://media.api-sports.io/football/teams/719.png,,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,,2.0,2.0,0.0,1.0,2.0,2.0,,,,
27551,"Aitor Gorostegui Fernandez Orte, Spain",UTC,2018-09-01T16:00:00+00:00,1535817600,1535817600.0,1535821200.0,,La Romareda,Saragossa,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 3,732,Zaragoza,https://media.api-sports.io/football/teams/732.png,,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,,1.0,1.0,1.0,0.0,1.0,1.0,,,,
27552,"Oliver de la Fuente Ramos, Spain",UTC,2018-09-09T18:00:00+00:00,1536516000,1536516000.0,1536519600.0,1469.0,Estadio Nuevo Arcángel,Cordoba,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 4,713,Cordoba,https://media.api-sports.io/football/teams/713.png,,711,Alcorcon,https://media.api-sports.io/football/teams/711.png,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
27553,"Gorka Sagues Oscoz, Spain",UTC,2018-09-09T18:45:00+00:00,1536518700,1536518700.0,1536522300.0,,Estadio de Riazor,La Coruna,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 4,544,Deportivo La Coruna,https://media.api-sports.io/football/teams/544.png,True,731,Sporting Gijon,https://media.api-sports.io/football/teams/731.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
27554,"Jose Antonio Lopez Toca,",UTC,2018-09-09T16:00:00+00:00,1536508800,1536508800.0,1536512400.0,1475.0,Estadio Francisco de la Hera,Almendralejo,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 4,860,Extremadura,https://media.api-sports.io/football/teams/860.png,False,715,Granada CF,https://media.api-sports.io/football/teams/715.png,True,1.0,3.0,0.0,1.0,1.0,3.0,,,,
27555,"Abraham Dominguez Cervantes, Spain",UTC,2018-09-07T18:00:00+00:00,1536343200,1536343200.0,1536346800.0,,Gran Canaria,Las Palmas de Gran Canaria,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 4,534,Las Palmas,https://media.api-sports.io/football/teams/534.png,True,714,Gimnastic,https://media.api-sports.io/football/teams/714.png,False,4.0,0.0,1.0,0.0,4.0,0.0,,,,
27556,"Inaki Vicandi Garrido, Spain",UTC,2018-09-08T16:00:00+00:00,1536422400,1536422400.0,1536426000.0,,La Rosaleda,Malaga,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 4,535,Malaga,https://media.api-sports.io/football/teams/535.png,True,719,Tenerife,https://media.api-sports.io/football/teams/719.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
27557,"Isidro Diaz de Mera Escuderos, Spain",UTC,2018-09-07T19:00:00+00:00,1536346800,1536346800.0,1536350400.0,,Iberostar Estadi,Palma,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 4,798,Mallorca,https://media.api-sports.io/football/teams/798.png,True,724,Cadiz,https://media.api-sports.io/football/teams/724.png,False,1.0,0.0,0.0,0.0,1.0,0.0,,,,
27558,"Alvaro Moreno Aragon,",UTC,2018-09-09T14:00:00+00:00,1536501600,1536501600.0,1536505200.0,,Los Pajaritos,Soria,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 4,717,Numancia,https://media.api-sports.io/football/teams/717.png,True,797,Elche,https://media.api-sports.io/football/teams/797.png,False,1.0,0.0,1.0,0.0,1.0,0.0,,,,
27559,"David Perez Pallas, Spain",UTC,2018-09-08T14:00:00+00:00,1536415200,1536415200.0,1536418800.0,,Estadio El Sadar,Pamplona,Match Finished,FT,90.0,141,Segunda Division,Spain,https://media.api-sports.io/football/leagues/141.png,https://media.api-sports.io/flags/es.svg,2018,Regular Season - 4,727,Osasuna,https://media.api-sports.io/football/teams/727.png,True,723,Almeria,https://media.api-sports.io/football/teams/723.png,False,3.0,1.0,1.0,1.0,3.0,1.0,,,,
